,Avg systolic BP,Avg diastolic BP,Avg estimated MAP ,Weight at pw26 ,Height at pw26,Midarm circumference at pw26,Triceps skinfold at pw26,Biceps skinfold at pw26,Subscapular skinfold at pw26,Suprailiac skinfold at pw26,Avg antenatal weight 1st tri ,Avg antenatal weight 2nd tri,Avg antenatal weight 3rd tri ,Last antenatal weight,Sodium  ,Magnesium   ,Phosphorus ,Potassium,Calcium ,Iron ,Ferritin ,Copper,Zinc ,Selenium ,Transferrin receptor ,Myristic,Palmitic acid,Palmitoleic acid,Stearic acid,Oleic acid,cis-Vaccenic acid ,Linoleic acid,Linolenic acid (n-6) ,Linolenic acid (n-3)  ,Arachidic acid ,Gondoic acid ,Eicosadienoic acid  ,DGLA ,Arachidonic ,Behenic acid,ETA ,EPA ,Adrenic acid ,DPA ,DHA,Total FA ,Total n-3,Total n-6 ,SFA ,MUFA ,PUFA ,Triglycerides,Total cholesterol,HDL-cholesterol ,LDL-cholesterol,Flavin mononucleotide,Riboflavin ,N1-methylnicotinamide  ,Nicotinamide,Trigonelline ,Pyridoxal,Pyridoxal 5-phosphate ,Pyridoxic acid,Folate,Vitamin B12,Vitamin D3,Arginine,Asymmetric dimethylarginine ,Creatine,Creatinine ,Homoarginine,Symmetric dimethylarginine,Trimethyllysine ,Cystathionine ,Total Homocysteine ,Total cysteine ,1-Methylhistidine ,3-Methylhistidine ,Histidine ,Methionine ,Methionine sulfoxide ,3-Hydroxyanthranilic acid ,3-Hydroxykynurenine ,Anthranilic acid ,Kynurenic acid ,Kynurenine ,Quinolinic acid ,Tryptophan ,Xanthurenic acid ,Betaine ,Choline ,Dimethylglycine ,Trimethylamineoxide,Fasting glucose,2-hour glucose,Adiponectin,PAI-1,Resistin,MCP-1,FSH,GH,LH,TSH,IGF-I,IGF-II,IGFBP-1,IGFBP-3,IGFBP-7,C-peptide,Leptin,TNF-a,IGFBP-4,Insulin,Aspartate transaminase,C-reactive protein,Alanine transaminase ,Uric acid,Neopterin ,PFBA,PFNA,PFDA,PFUnDA,PFHxS,PFOA,PFBS,PFOS,PSI 1st tri,PSI 2nd tri,PSI 3rd tri ,PSI pregnancy ,PM2.5 1st tri ,PM2.5 2nd tri,PM2.5 3rd tri,PM2.5 pregnancy 
Asymmetric dimethylarginine ,-0.0070308,0.0124475,0.0111135,0.0929273,-0.0647785,0.1297882,0.1272668,0.0554881,0.140384,0.1502355,0.0775263,0.0889895,0.0964704,0.1137606,-0.0565628,-0.1228483,-0.0865616,-0.0704363,0.0327137,-0.0256829,0.049934,-0.0265265,0.0290518,-0.0984399,0.0389841,-0.0518593,0.0365557,-0.0188546,0.0418568,0.0146026,0.0322436,0.0244343,0.090888,-0.0066692,-0.0470024,-0.0052929,-0.0124464,0.0843068,0.0759274,-0.0657841,-0.038014,0.0045346,-0.0039118,-0.0081416,-0.0028736,0.0311154,0.0105079,0.0449779,0.0382535,0.0162495,0.0347826,-0.0461343,-0.1232734,-0.1223843,-0.0782993,0.1023287,0.1483442,0.0923916,-0.0156138,0.0376444,0.1298604,0.1072648,0.145153,-0.0237209,-0.0071167,0.005614,0.2812097,1,0.1147513,0.0286638,0.0471186,0.2922639,0.2023706,0.0401698,0.1541927,0.1233789,0.2195622,-0.0347673,0.1829166,0.3179793,0.2472177,0.0854869,0.1700841,0.0814162,0.2497295,0.2681121,0.2673081,0.1981545,0.1073287,0.0493382,0.2120368,0.2657662,0.0389179,0.0521602,-0.0195914,-0.115861,-0.0388253,0.0458408,0.2158869,-0.0196185,-0.0404814,0.0446011,0.0247769,0.012189,-0.1217286,-0.0453825,-0.0313401,0.0594563,-0.0296632,0.1377261,0.0460158,-0.0397594,-0.0485529,0.0398982,0.1019617,0.0667223,0.2018565,0.235008,0.0259653,0.0125705,-0.0397361,-0.0403406,0.0238138,0.0364022,0.0243063,0.0229615,-0.0767636,0.0485898,-0.1069121,-0.1318194,-0.1279081,0.0051244,-0.1488597,-0.1223121
Creatine,0.0196142,0.0146588,0.0167029,-0.0024522,0.0082799,0.003232,0.0918867,0.0234263,0.0439751,0.0691375,-0.0428759,-0.0005548,0.0102878,0.0080494,-0.0510947,0.0317632,0.0655655,-0.0289669,-0.0043704,0.0535021,0.0425946,-0.0785554,0.1178621,0.2941013,0.0510183,0.0261418,0.0762844,0.1108224,0.0532436,0.0960701,0.1506989,0.0727105,-0.0266159,0.004066,0.0269028,0.0640653,0.1033246,0.0125495,0.030373,-0.0536338,0.0924856,0.2274875,-0.0716214,0.1490853,0.0881561,0.0788113,0.108342,0.0549006,0.0728344,0.104998,0.0698207,0.1512096,0.0069723,0.0780068,-0.0814565,-0.0203593,0.103226,0.248478,0.2003957,-0.2465132,0.015894,0.0229844,0.0185368,0.0779944,0.0574142,0.1121458,0.0522357,0.1147513,1,-0.2025548,0.259996,-0.0325685,0.158833,0.0614598,0.0713054,0.1208195,0.2462139,0.2793057,0.1132341,-0.0875963,-0.077146,0.1886762,-0.0938514,0.0829049,0.1875729,-0.0623879,0.1277778,0.0411667,0.3618682,-0.1538172,0.2004326,0.0577952,0.2320004,0.0149874,0.0797445,-0.0260426,0.0125763,0.0247663,-0.0583756,0.0623059,-0.0408378,0.0144587,0.045781,0.1155511,0.062137,-0.0547379,-0.051315,0.0308567,0.1265441,-0.0908186,0.0048647,-0.0176276,0.1313254,0.0148395,-0.0381289,0.0066694,0.1790706,-0.1154791,0.100235,0.1278239,0.1888656,0.2438046,0.1076933,0.0439408,-0.0143149,0.229797,-0.0765776,0.0606048,-0.0478873,-0.0621879,-0.0317627,0.0687667,-0.0479288,-0.0127846
Creatinine ,0.0044303,-0.010917,-0.0053958,0.0838163,0.1092729,0.0623105,0.0721634,0.0203978,0.0617005,0.0027883,0.1119101,0.0740979,0.0974548,0.0878781,-0.1157453,-0.0206324,-0.052589,0.0108057,-0.1443594,-0.0239732,-0.0432281,0.0243754,-0.0941365,-0.0962163,0.0334288,0.0184079,0.0355517,-0.0375337,0.0414593,0.052926,0.0470314,0.0626334,0.1112119,0.1265975,0.0476965,0.0633558,0.0375968,0.0268844,0.0425876,0.0389923,0.0181288,0.026734,0.0970899,0.0361753,0.0695937,0.0485642,0.0778807,0.0593102,0.0370342,0.0467381,0.0629168,-0.1238997,0.1052272,0.140673,0.1062667,0.0868704,-0.0396719,0.1332331,-0.07195,0.1550328,0.053862,0.0389255,0.0868621,-0.0117176,0.0929677,0.04826,0.2649343,0.0286638,-0.2025548,1,-0.0000982,0.4199903,0.2802761,0.2527547,0.2497468,0.0720381,0.4643537,0.0950227,0.2035422,0.3163797,0.1745116,0.0762002,0.245781,0.1039954,0.3354833,0.2858949,0.328902,0.1314819,0.1046026,0.1694709,0.1290298,0.2237586,0.043584,0.0360764,-0.0747005,0.1374574,0.0088754,0.2292139,0.0436126,-0.1073299,0.0228593,-0.0600466,0.0265485,-0.0328739,0.0047619,0.2051414,0.0339044,0.0926646,0.0034133,0.1163695,0.0328631,0.1800266,-0.095841,0.1410591,-0.0365681,0.0804817,0.1960923,0.2247737,-0.0456172,0.0174942,0.0320069,0.0478428,0.0435121,-0.0023851,-0.0105448,0.1020488,-0.0318594,0.0578414,-0.0767832,-0.0407925,-0.0411847,-0.0061383,-0.0994278,-0.0464206
Homoarginine,-0.0947507,-0.1004055,-0.1057575,0.0499686,0.131678,0.0265392,-0.0638088,-0.1147301,0.0081376,0.0739242,0.02447,0.0663055,0.0490851,0.0368668,-0.022207,0.1368035,0.021656,-0.0358233,-0.014157,0.1473624,0.0185547,-0.1112283,0.2115337,0.1507298,-0.0260344,-0.0331601,-0.0117728,-0.0983258,0.0221722,-0.0015283,0.0343916,-0.0133056,-0.1176451,-0.055729,0.0483466,0.0136403,0.0253521,-0.1391188,-0.0265335,-0.0382203,0.01355,0.2677919,-0.0976934,0.1524861,0.0990092,-0.0070139,0.1253779,-0.037522,-0.0063834,-0.0073074,-0.0054176,-0.0818093,0.0291144,0.1582292,-0.0112903,0.1216299,0.0676799,0.1299749,0.0497794,-0.1418313,0.0427282,0.0991036,0.0263592,0.065289,0.1749211,0.1520959,0.1652853,0.0471186,0.259996,-0.0000982,1,0.0463114,0.2063945,-0.0860875,-0.044057,0.0781128,0.1016747,0.1025515,0.0977433,0.1235353,-0.0636856,0.0477987,-0.0924319,0.1382346,0.2174915,-0.119611,-0.0012088,0.1660394,0.2928236,0.089535,0.1069032,0.0429097,0.1346878,-0.0090842,0.0797777,0.0708707,-0.0472907,-0.0355679,-0.0353259,0.0310159,0.0281135,-0.0600038,-0.0116909,0.070109,0.0498441,-0.0821379,-0.0422889,-0.0119919,-0.0950907,-0.0567588,-0.0065049,-0.0648951,-0.0633519,-0.0270272,-0.0546506,-0.0089812,0.0962735,-0.1540231,0.0397349,0.1713206,0.2628026,0.3193824,0.0677353,0.0683374,-0.0039313,0.2066502,-0.0489044,0.0188846,-0.0275467,-0.0600937,-0.0102459,0.072068,-0.0121152,0.0132377
Symmetric dimethylarginine,0.0161422,0.0259707,0.0219181,0.0522067,-0.0059402,0.0629632,0.0336654,0.0222793,0.0487565,0.032837,0.0569199,0.0370358,0.03714,0.0366244,-0.0016072,0.0126365,0.0016621,-0.0440136,-0.0074657,0.0157241,-0.0196558,0.0711952,-0.0159319,-0.0394907,0.0034605,-0.0570841,0.0191928,-0.025304,0.0081406,0.021792,0.0485222,0.0287603,0.0393087,0.0462439,0.0543387,-0.0062002,0.0199656,0.0431568,0.008728,0.0383464,0.0040767,-0.0633951,0.0185093,-0.0487408,0.0313053,0.0204972,0.020373,0.0284966,0.014676,0.0227891,0.0264168,0.0109635,0.0170864,-0.0285855,0.022599,0.0105935,0.0092789,0.010724,-0.0254767,0.0160306,-0.0569217,-0.101164,-0.0106951,0.0209238,0.0171408,0.1016355,0.136008,0.2922639,-0.0325685,0.4199903,0.0463114,1,0.1040649,0.1225609,0.2548348,0.1022686,0.2557334,-0.0817001,0.1644437,0.2093066,0.1124784,0.1113451,0.2479257,0.1292304,0.1970093,0.2057703,0.3035261,0.0263953,0.0175808,0.086501,0.1850664,0.2331676,0.0118453,-0.0085614,0.0123561,0.045736,-0.0340088,0.0917234,0.0650945,-0.0148257,0.0409807,0.0327593,0.009188,-0.0342145,-0.0588244,0.1331818,0.0015351,0.0312123,-0.0743291,0.0075064,0.0294497,0.1232252,-0.1452381,0.0550109,0.0700726,-0.0024148,0.2797511,0.1993799,0.0036456,0.0088335,-0.0212349,-0.0150387,-0.0148645,0.0591537,0.0236487,0.0129846,-0.0033794,0.0251414,-0.0268743,-0.0237247,-0.0168896,0.0431158,-0.0166025,0.0071473
Trimethyllysine ,0.0172509,0.0091237,0.0124323,0.0129806,0.1449108,-0.0643481,-0.019356,-0.0782357,-0.0041829,-0.0053091,-0.0206158,-0.0036979,0.0330881,0.0348328,-0.0542787,0.0288552,-0.0453878,-0.0328812,-0.0514819,-0.0717771,-0.0231581,-0.0784029,-0.0635873,0.0664309,0.0855158,0.0079807,0.0471853,0.0203892,0.0456611,0.0822256,0.0810369,0.0439758,-0.0026251,0.0123804,0.0220501,0.0880399,0.032903,-0.0223997,0.0490073,0.0196231,-0.0037094,0.1285533,-0.0487529,0.045489,0.0611072,0.0485717,0.0699794,0.035621,0.0478186,0.0788303,0.0418277,-0.1187046,-0.024124,0.1044266,-0.044769,0.0418017,-0.0205616,0.0448151,-0.0285914,0.0887387,-0.0061766,-0.0165796,-0.0296192,-0.1878646,0.1151627,0.0541964,0.2142616,0.2023706,0.158833,0.2802761,0.2063945,0.1040649,1,0.2345016,0.1363784,-0.0612364,0.5767073,0.3355455,0.1130809,0.2028211,0.2092047,0.1229924,0.130199,0.1836834,0.3246746,0.1977647,0.3098444,0.2322547,0.2921921,0.0404399,0.071754,0.2467599,0.38967,0.1222615,-0.0556843,0.0535928,0.0890787,0.0918538,0.1018322,-0.0483368,0.0307137,0.0514258,0.0493261,0.0963078,-0.0022273,0.0908839,0.0367882,0.1286856,0.0249908,0.0809179,0.0660403,0.0853844,0.0200582,0.0350312,-0.012977,0.054975,0.1668879,0.0684426,-0.0880245,0.1194109,0.2105372,0.2791067,0.1204138,0.0056637,-0.0076768,0.2763344,-0.0180148,-0.0158632,0.0093058,0.0008198,-0.0539356,-0.0406828,-0.0592549,-0.0619195
Cystathionine ,-0.0917026,0.021713,-0.0237184,-0.1679974,-0.0960817,-0.1215456,-0.0617598,-0.0858116,-0.0362304,-0.0686241,-0.1474106,-0.1690963,-0.1676151,-0.1736266,0.0299208,0.0153762,0.0538239,-0.0193263,-0.038736,-0.1517067,-0.2012213,0.0039087,-0.0725729,0.0201661,0.1266115,-0.0411756,-0.0192848,-0.036795,-0.0622252,0.0302873,0.0525515,0.0050121,0.0221919,0.016582,-0.0314483,0.0551236,-0.004924,-0.0963643,-0.0448821,-0.0275134,-0.0843188,-0.0546712,0.0665897,-0.066057,-0.0615492,-0.0294777,-0.0612542,-0.030178,-0.0288685,0.0271127,-0.0409088,-0.0493313,0.0965987,0.0963774,0.1147091,-0.0711376,-0.1666701,0.0913964,0.0379108,-0.0054305,-0.2169437,-0.2758482,-0.2487253,-0.1594271,0.0690361,-0.1458196,0.2192189,0.0401698,0.0614598,0.2527547,-0.0860875,0.1225609,0.2345016,1,0.3384944,0.0536509,0.2211836,0.1314863,0.1203898,0.3443344,0.1782401,0.2302822,0.2271733,0.038802,0.0816927,0.1073216,0.2315714,0.0386977,0.0485357,-0.0215588,0.0214728,0.2025115,0.0963315,-0.0541448,-0.1152886,0.1444498,0.2167503,0.0733043,-0.0073698,-0.0293149,0.0620822,0.0108299,-0.0212747,0.0285223,-0.0262375,0.1787831,0.123442,0.0939825,-0.0933222,0.0044956,0.0217172,0.1249647,-0.1075248,0.033483,-0.0782728,-0.0078527,0.1237449,0.0231985,-0.0852206,0.0255652,0.1316653,0.1242149,0.0095747,-0.083913,-0.0147027,0.1643805,0.0306446,-0.0999406,0.1300243,0.0760953,0.0047853,-0.1115562,0.0049591,-0.044661
Total Homocysteine ,-0.0026794,0.0118784,0.0111421,-0.030737,-0.0215668,-0.0239507,0.014897,-0.0346805,-0.0171733,-0.0625546,-0.0017193,-0.0340555,-0.0261106,-0.034516,-0.0328639,0.0041543,0.0587434,-0.0339737,-0.0193624,-0.1084632,-0.2109562,0.0818338,-0.0251346,0.0610788,0.0976504,0.0312066,0.0219125,0.0845232,0.0031393,0.1054636,0.0608974,0.0665468,0.0090639,0.0078705,0.0090303,0.0594518,0.0661542,0.0588221,0.024418,0.0357638,-0.0473714,-0.1692785,0.0222833,-0.121457,-0.0801189,0.0300483,-0.0943007,0.0560853,0.0177785,0.0964213,0.0246657,0.0622704,0.1673787,0.0235157,0.1858945,0.0593343,0.0020181,0.0388932,0.023929,0.1147824,-0.1251495,-0.1859009,-0.2010879,-0.2031845,-0.1573654,-0.1885852,0.1080468,0.1541927,0.0713054,0.2497468,-0.044057,0.2548348,0.1363784,0.3384944,1,0.1616541,0.1378991,-0.0369386,0.1524561,0.1772365,0.1284389,0.0652343,0.2402378,0.095149,0.0895247,0.130454,0.2198601,-0.0131106,-0.0039384,-0.139275,0.0371816,0.2179121,0.0499161,-0.0541581,-0.078603,0.1532539,0.1556382,0.0125082,-0.0208896,-0.0199534,0.0013969,-0.0203074,0.0281854,-0.1317202,-0.0497342,0.1845968,0.0460404,0.0020234,-0.0447495,0.019611,0.0454499,0.1237328,-0.0790787,0.0417442,-0.041588,-0.019269,0.1988768,0.0526249,0.0765643,-0.0179898,-0.0446976,-0.0324309,-0.0148614,0.0409028,0.1356001,0.0503104,-0.0058172,-0.1027564,0.0700959,0.0120098,0.0015792,-0.0553267,0.0341851,-0.0191606
Total cysteine ,0.0604728,0.1494766,0.116611,0.0862601,-0.0298501,0.1127093,0.0117491,0.0064744,-0.0123176,0.0968399,0.0929538,0.0880462,0.0858795,0.0807624,0.0235242,0.0632545,0.1704395,-0.1754537,0.15104,-0.0110351,0.0040814,0.1904042,0.1124889,0.1708014,0.0225649,0.0097872,-0.0534702,0.0491498,-0.0057562,0.0292985,0.049359,-0.0388766,-0.0486028,-0.1150801,0.0660225,0.0082129,0.0264778,0.0063145,-0.0792546,-0.0750955,-0.0000851,-0.0145133,-0.1257973,-0.0153052,-0.139266,-0.0408895,-0.1210416,-0.0419999,-0.0449194,0.0337092,-0.0589177,0.0367592,0.1063443,0.0497942,0.095333,0.1516569,0.0072931,-0.0402494,0.0197605,-0.0441475,0.0821537,0.0846643,0.0600794,0.167847,-0.0005899,0.0824934,0.1330636,0.1233789,0.1208195,0.0720381,0.0781128,0.1022686,-0.0612364,0.0536509,0.1616541,1,0.0754466,-0.0066948,0.0290189,0.0225471,-0.1188659,0.0304488,0.0304903,-0.004593,0.0951012,0.0040821,-0.0007374,0.0434907,0.0274026,0.0677894,-0.0109339,0.0980193,-0.0399335,-0.1901328,-0.0276417,0.1013574,0.1305224,0.0152059,-0.0033224,0.108294,0.0210401,-0.0273529,-0.0070826,-0.0176549,-0.0066843,0.0662764,0.1280586,0.0726493,-0.0818865,0.0973984,-0.0478688,0.0569113,-0.0469305,0.0047115,0.0803182,-0.0185279,0.2130073,-0.0264052,-0.0944253,-0.0374087,-0.0604056,-0.0302477,-0.0383205,-0.0057436,-0.1134591,-0.0017966,0.0312123,-0.0885231,0.1097119,0.0671805,0.1266533,0.0308044,0.1231672,0.1378287
1-Methylhistidine ,0.0894548,-0.0010929,0.0314672,0.1008621,0.0973287,0.0722981,0.164577,0.0801188,0.1017906,0.1120556,0.081851,0.0864147,0.1161843,0.1213984,-0.0503698,-0.0219013,-0.0384999,0.0289088,-0.0453008,0.04063,0.0942777,-0.0476315,-0.0181663,0.0102387,-0.0324447,-0.0000417,0.0597181,0.0583179,0.0642048,0.0652766,0.0749216,0.0712907,0.0629469,0.0595606,0.0020012,0.020368,0.0618314,0.0420374,0.0761232,0.0334444,-0.0111835,0.0521832,0.0866528,0.0387773,0.0897655,0.0681207,0.0780932,0.0726372,0.0612272,0.0673278,0.0748124,-0.0493774,-0.0691439,0.0742212,-0.1079331,0.0450799,0.0353365,0.155749,0.0045528,0.0093878,0.0976675,0.0673833,0.1302846,-0.0545405,0.1627814,0.1320501,0.2251436,0.2195622,0.2462139,0.4643537,0.1016747,0.2557334,0.5767073,0.2211836,0.1378991,0.0754466,1,0.3697681,0.1857032,0.2006937,0.1921964,0.1502291,0.1621027,0.1596566,0.4480301,0.2378555,0.4166698,0.2268851,0.3487383,0.1206701,0.1676255,0.3201168,0.2577769,0.0578046,-0.0313516,-0.0424019,0.0232134,0.1369169,0.1239974,-0.0068498,-0.0264168,0.055915,0.0621668,0.0138793,0.0050779,0.0843949,-0.0189363,0.1334606,0.0687089,0.0985866,0.0547976,0.0591405,0.0088598,0.1766024,0.0221977,0.1689031,0.3435484,0.0674385,0.0030993,0.1423617,0.170435,0.1974098,0.151124,0.1120774,-0.0004445,0.2058662,-0.0596526,0.0670299,-0.0444249,-0.0356832,-0.0935401,-0.0146408,-0.0737559,-0.0894949
3-Methylhistidine ,0.0069183,0.0437954,0.0279113,-0.0188581,0.0861037,-0.0662419,0.0301911,-0.0361319,0.0269387,0.0584153,-0.0285269,-0.0239813,0.0050103,0.0059499,-0.012218,0.0241124,0.0436827,-0.0498741,-0.0079721,-0.0459561,0.0828298,-0.1001306,-0.0313467,0.0858543,0.0634656,0.0582788,0.1136716,0.090671,0.0969208,0.1305825,0.1125605,0.1166863,0.0296424,0.0450517,0.0392387,0.0962398,0.1113211,0.0260189,0.0610109,0.0100275,0.0898636,0.1533639,-0.0017442,0.1399143,0.115716,0.1133615,0.1199562,0.093688,0.1127933,0.1313421,0.1026185,-0.0803382,-0.0124874,0.1302875,-0.04467,0.01786,-0.0073552,0.1092942,0.0281468,-0.1488884,0.0325368,0.0144474,0.0247922,-0.0216001,0.0793057,-0.0004773,0.0211855,-0.0347673,0.2793057,0.0950227,0.1025515,-0.0817001,0.3355455,0.1314863,-0.0369386,-0.0066948,0.3697681,1,0.0311498,-0.0228529,0.0122437,0.062837,-0.006179,0.1428648,0.1756712,0.010919,0.1192051,0.0742487,0.1775747,0.0232853,0.0360677,0.0734008,0.0451649,0.1006219,-0.084868,-0.0009848,0.0382987,0.0450053,-0.006033,0.0579251,-0.0255264,0.0733549,0.0419396,0.1567599,0.0193528,-0.0040871,0.0088942,0.1025506,0.0696521,0.0211395,0.0405447,0.0003417,0.0862392,-0.0436614,-0.0263355,0.0254816,0.0618764,0.0013801,0.0217127,0.1191866,0.1686944,0.2025096,0.1694868,0.0165298,0.0355418,0.2056199,-0.0450686,0.050968,-0.0335996,-0.0183672,-0.043674,-0.0007017,-0.0503234,-0.0427855
Histidine ,-0.1361976,-0.1099218,-0.1290224,-0.0810988,0.0281741,-0.074642,-0.0411183,-0.1452166,-0.1364649,-0.0553986,-0.1017347,-0.105914,-0.0752392,-0.0598727,-0.0441318,-0.002545,0.0375198,-0.0402037,-0.0522354,0.0305071,-0.0698426,-0.1228247,-0.1074842,0.0398894,0.0191484,0.1090052,0.0633384,0.0457819,0.0324279,0.0270867,0.0387187,0.0599148,0.0650673,0.1105596,0.0616811,0.0088671,0.0968656,0.0825139,0.0548626,0.0049614,0.0611347,0.0199837,0.069063,0.086608,0.0551468,0.058859,0.069874,0.0664399,0.0569252,0.0318564,0.0660922,-0.1176247,0.098269,0.0964092,0.1355019,0.1309682,0.0205023,0.2213917,0.1246441,0.101198,-0.0157955,-0.0275792,-0.0532901,0.0353187,-0.0518664,-0.061669,0.3102308,0.1829166,0.1132341,0.2035422,0.0977433,0.1644437,0.1130809,0.1203898,0.1524561,0.0290189,0.1857032,0.0311498,1,0.4151164,0.2302657,0.0773102,0.0488903,-0.0200561,0.2170676,0.0848209,0.078579,0.2411406,0.3251174,0.0728038,0.0887288,0.1352808,0.0167437,0.0359446,-0.0300726,0.1232381,-0.0097496,0.034198,-0.0505316,0.0165527,0.0920283,0.0565046,0.0361975,-0.0596808,0.0885876,0.1445198,-0.0201484,-0.0009508,-0.1565245,-0.005192,0.0805459,0.124132,-0.2206023,0.0747278,-0.1193969,-0.0412306,0.0442623,-0.0124884,0.0952833,-0.0721632,-0.0401997,-0.030101,-0.0405331,-0.0445416,0.0605688,-0.0660682,-0.0885883,0.0553597,-0.0692866,-0.0954493,-0.0710841,0.0697887,-0.063091,-0.0349866
Methionine ,-0.0608951,-0.048609,-0.0542307,-0.0414145,0.0755975,-0.0916561,-0.0525915,-0.0858456,0.0306532,-0.0412658,-0.052717,-0.0459382,-0.0282395,-0.013927,-0.0595617,-0.0681734,-0.0359719,-0.0154975,-0.0654048,-0.0638786,-0.1335469,-0.1060523,-0.0382969,-0.0494839,0.063983,0.0663255,0.0980222,0.0458752,0.087014,0.0965399,0.083727,0.1071415,0.1268215,0.0979254,-0.0155542,0.0958542,0.0752045,0.0592087,0.1111196,0.0264541,-0.0200056,-0.0236313,0.1393916,0.0418474,0.0932958,0.0958773,0.0803085,0.1083854,0.0955516,0.0940632,0.1016797,-0.0771055,0.0639357,0.0540096,0.1072451,0.1182332,-0.0395105,0.1461173,0.0524415,0.0085459,-0.0408635,-0.0259664,-0.0920385,-0.0956584,0.0726494,-0.1103171,0.5335874,0.3179793,-0.0875963,0.3163797,0.1235353,0.2093066,0.2028211,0.3443344,0.1772365,0.0225471,0.2006937,-0.0228529,0.4151164,1,0.3468025,0.0183501,0.1482289,0.0435113,0.1953279,0.1412135,0.0790337,0.4080538,0.1723964,0.1442115,0.0109557,0.2728298,-0.0006507,0.0559721,-0.0661835,0.061956,0.0826879,0.054962,0.0270082,-0.0299082,0.1167006,0.0376804,0.0039485,-0.0116713,0.0609308,0.1027443,-0.0089032,-0.041794,-0.224269,0.024172,0.033418,0.0863125,-0.2334126,0.0828423,-0.1570614,-0.0060698,0.0664256,0.0006219,0.0241993,-0.0048985,0.0386665,0.0394243,0.0047823,0.0031785,0.0708005,0.0780562,-0.0538968,0.0172451,-0.0781919,-0.1022429,-0.1070979,0.0027779,-0.0986663,-0.1068324
Methionine sulfoxide ,-0.0608791,-0.038947,-0.0511813,0.0185807,-0.0034939,0.0091066,0.0888307,0.0380602,0.0555051,0.0223085,0.0157137,-0.0079794,0.0030877,0.0060267,0.0070502,-0.1204221,-0.0909979,0.0023623,0.0229582,-0.0098748,0.0645928,-0.105324,-0.121621,-0.1437877,-0.041616,-0.0364267,0.0278658,-0.0595699,0.0013997,-0.0124338,-0.0025624,0.0421437,0.0424929,0.0046475,-0.0719859,-0.0009463,-0.0410617,0.0219711,0.0448431,0.0133257,-0.0433612,-0.1095498,0.1178584,-0.0743873,0.0293001,0.0222839,0.0111876,0.0408059,0.0224571,-0.0141256,0.0305539,-0.0941862,-0.0472143,-0.0852176,0.0164822,0.0817179,0.0801513,0.0019239,-0.020649,0.141844,0.0647219,0.0525242,0.0641444,-0.0853561,-0.0096167,-0.0783053,0.1654333,0.2472177,-0.077146,0.1745116,-0.0636856,0.1124784,0.2092047,0.1782401,0.1284389,-0.1188659,0.1921964,0.0122437,0.2302657,0.3468025,1,0.0347708,0.124013,0.100129,0.147431,0.1566735,0.1553954,0.1229881,0.06421,0.0424395,0.0837712,0.2801028,0.0975669,0.1707201,-0.0227832,-0.0062741,0.0273483,0.0640092,0.1188012,-0.0514431,0.0036735,0.1051392,0.1107187,0.0159853,-0.0138477,0.0488705,-0.04902,-0.0140244,0.0252476,0.0971261,0.0536071,0.0108679,-0.0129603,0.1362143,-0.0997898,0.0882875,0.0621616,0.081013,-0.0045978,-0.0710675,-0.0266406,-0.0013856,-0.0535342,-0.0047548,0.0322872,0.0478224,0.0517795,-0.0303594,-0.0377823,-0.0204859,-0.0238873,-0.0340244,-0.0432934,-0.0505881
3-Hydroxyanthranilic acid ,0.0272459,0.0774702,0.0563585,-0.0598995,-0.0624184,0.0201278,0.0623001,-0.0187705,0.0014187,0.0099065,-0.0892245,-0.0584062,-0.0679495,-0.0795041,0.0843705,0.0186588,0.1514499,-0.0327053,0.0888695,-0.0945944,-0.1071514,-0.0100586,0.0899895,0.08792,0.1077675,-0.0382063,-0.0672579,0.000355,-0.0752314,-0.0413813,-0.0291332,-0.0483997,-0.0886844,-0.0231867,-0.06695,-0.038934,-0.0270038,-0.0648392,-0.0903476,-0.0589138,0.0168489,0.0284952,-0.0979263,-0.0346295,-0.0484308,-0.0654785,-0.0323985,-0.0677939,-0.0707076,-0.0373798,-0.0593233,0.1540875,0.0402151,0.0307895,-0.0147295,0.047641,0.0600885,0.2978616,0.2231561,0.0002034,0.0759838,0.0495865,0.065111,0.0771457,0.0278047,0.0820708,0.057716,0.0854869,0.1886762,0.0762002,0.0477987,0.1113451,0.1229924,0.2302822,0.0652343,0.0304488,0.1502291,0.062837,0.0773102,0.0183501,0.0347708,1,0.3234782,0.108425,0.373716,0.3651914,0.5464059,0.1568476,0.3964414,-0.0894313,0.1460133,0.0673942,0.0752861,0.0511879,0.1152795,-0.0390153,0.0760383,-0.0098184,-0.03546,0.0509997,-0.0294162,0.0742114,0.0800172,0.1292753,-0.0340931,-0.0116802,0.0315779,0.0011609,0.0736525,-0.016145,-0.0201566,-0.010502,0.1051811,0.1290818,0.0964858,0.0863043,0.2142174,0.1965088,-0.0584063,0.0849396,0.1229548,0.1084199,0.0240287,0.0096867,0.0100372,0.1094343,0.0375115,-0.0352384,0.0090178,0.0109412,0.0296691,-0.0194255,-0.025103,0.0106368
